REPOSITORY                      TAG                      SIZE
n8nio/n8n                       latest                   1.71GB
flowiseai/flowise               latest                   4.76GB
ollama/ollama                   latest                   3.45GB
redis                           7-alpine                 60.7MB
ghcr.io/open-webui/open-webui   main                     6.87GB
supabase/studio                 2025.06.30-sha-6f5982d   1.16GB
supabase/supavisor              2.5.6                    1.44GB
supabase/storage-api            v1.24.7                  912MB
supabase/gotrue                 v2.176.1                 72.4MB
postgres                        16-alpine                394MB
supabase/postgres-meta          v0.89.3                  548MB
supabase/logflare               1.14.2                   721MB
supabase/realtime               v2.34.47                 250MB
supabase/postgres               15.8.1.060               3GB
supabase/edge-runtime           v1.67.4                  1.01GB
nocodb/nocodb                   latest                   736MB
postgrest/postgrest             v12.2.12                 22.8MB
timberio/vector                 0.28.1-alpine            174MB
darthsim/imgproxy               v3.8.0                   250MB
kong                            2.8.1                    203MB
